outfall_structure,waterway_reach,open_timestamp,close_timestamp,river_segment_id
UDP-DS8 (K26),Weller Cr,2013-04-18 11:23:00,2013-04-19 00:00:00,12
DS-M51,SB Chicago R,2013-04-18 11:28:00,2013-04-18 12:30:00,6
DS-M49,SB Chicago R,2013-04-18 11:29:00,2013-04-18 15:27:00,6
TG-M22,CSSC Upper (SWRP),2013-04-18 11:34:00,2013-04-18 22:29:00,8
DS-M54,Chicago R,2013-04-18 11:37:00,2013-04-18 13:00:00,5
DS-M70,NBCR Lower (NSC Confluence),2013-04-18 11:40:00,2013-04-18 12:26:00,3
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 11:54:00,2013-04-18 15:47:00,3
DS-M21,CSSC Upper (SWRP),2013-04-18 12:00:00,2013-04-18 16:56:00,8
DS-M19,CSSC Upper (SWRP),2013-04-18 12:04:00,2013-04-18 12:39:00,8
DS-M51,SB Chicago R,2013-04-18 12:40:00,2013-04-18 15:22:00,6
TG-I28 & I29,SB Chicago R,2013-04-18 12:41:00,2013-04-18 15:08:00,6
TG-I32,SB Chicago R,2013-04-18 12:42:00,2013-04-18 12:47:00,6
TG-I32,SB Chicago R,2013-04-18 12:52:00,2013-04-18 13:13:00,6
DS-M38,SB Chicago R,2013-04-18 12:52:00,2013-04-18 13:22:00,6
TG-I12,CSSC Upper (SWRP),2013-04-18 12:54:00,2013-04-18 13:06:00,8
TG-I9,CSSC Upper (SWRP),2013-04-18 12:57:00,2013-04-18 13:00:00,8
DS-M54,Chicago R,2013-04-18 13:09:00,2013-04-18 13:34:00,5
DS-M104E,NSC Upper (NSWRP),2013-04-18 13:14:00,2013-04-18 13:21:00,1
TG-I32,SB Chicago R,2013-04-18 13:17:00,2013-04-18 15:06:00,6
DS-M38,SB Chicago R,2013-04-18 13:29:00,2013-04-18 15:12:00,6
DS-M13,CSSC Upper (SWRP),2013-04-18 13:34:00,2013-04-18 13:42:00,8
DS-M104E,NSC Upper (NSWRP),2013-04-18 13:39:00,2013-04-18 16:55:00,1
DS-M13,CSSC Upper (SWRP),2013-04-18 14:11:00,2013-04-18 14:14:00,8
122ND ST PS (CDS-28),Cal R,2013-04-18 14:15:00,2013-04-18 15:00:00,17
DS-M13,CSSC Upper (SWRP),2013-04-18 14:20:00,2013-04-18 14:23:00,8
DS-M13,CSSC Upper (SWRP),2013-04-18 14:34:00,2013-04-18 14:39:00,8
UDP-DS1A (K1A),Weller Cr,2013-04-18 14:40:00,2013-04-19 00:00:00,12
TG-I28 & I29,SB Chicago R,2013-04-18 15:11:00,2013-04-18 15:15:00,6
DS-M38,SB Chicago R,2013-04-18 15:22:00,2013-04-18 15:33:00,6
DS-M49,SB Chicago R,2013-04-18 15:44:00,2013-04-18 16:08:00,6
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 15:56:00,2013-04-18 16:38:00,3
DS-M75,NBCR Lower (NSC Confluence),2013-04-18 16:42:00,2013-04-18 16:51:00,3
DS-M25,SB Chicago R,2013-04-18 17:01:00,2013-04-18 17:14:00,6
DS-M104E,NSC Upper (NSWRP),2013-04-18 17:03:00,2013-04-18 17:05:00,1
